,"purge_reads_0,00_8_boosts","purge_reads_0,00_10_boosts","purge_reads_0,50_8_boosts","purge_reads_0,50_10_boosts","purge_reads_0,25_8_boosts","purge_reads_0,25_10_boosts","purge_reads_0,25_12_boosts"
soft_114090-GCF_002982135.1_ASM298213v1,"Firmicutes, Bacilli, Lactobacillales, Lactiplantibacillus","Firmicutes, Bacilli, Lactobacillales, Lactiplantibacillus","Firmicutes, Bacilli, Lactobacillales, Lactiplantibacillus","Firmicutes, Bacilli, Lactobacillales, Lactiplantibacillus","Firmicutes, Bacilli, Lactobacillales, Lactiplantibacillus","Firmicutes, Bacilli, Lactobacillales, Lactiplantibacillus","Firmicutes, Bacilli, Lactobacillales, Lactiplantibacillus"
soft_299768-GCF_000011845.1_ASM1184v1,"Firmicutes, Bacilli, Lactobacillales, Streptococcus","Firmicutes, Bacilli, Lactobacillales, Streptococcus","Firmicutes, Bacilli, Lactobacillales, Streptococcus","Firmicutes, Bacilli, Lactobacillales, Streptococcus","Firmicutes, Bacilli, Lactobacillales, Streptococcus","Firmicutes, Bacilli, Lactobacillales, Streptococcus","Firmicutes, Bacilli, Lactobacillales, Streptococcus"
soft_321956-GCF_000014405.1_ASM1440v1,"Proteobacteria, Deltaproteobacteria, Desulfovibrionales, Desulfomicrobium","Proteobacteria, Deltaproteobacteria, Syntrophales, Desulfobacca","Proteobacteria, Deltaproteobacteria, Syntrophales, Desulfobacca","Proteobacteria, Gammaproteobacteria, Kangiellales, Kangiella","Proteobacteria, Deltaproteobacteria, Syntrophales, Desulfobacca","Proteobacteria, Deltaproteobacteria, Syntrophales, Desulfobacca","Proteobacteria, Deltaproteobacteria, Desulfovibrionales, Desulfomicrobium"
soft_321967-GCF_000014525.1_ASM1452v1,"Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrio","Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrio","Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrio","Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrio","Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrio","Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrio","Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrio"
soft_349519-GCF_000026405.1_ASM2640v1,"Proteobacteria, Gammaproteobacteria, Pasteurellales, [Haemophilus]","Firmicutes, Bacilli, Lactobacillales, Lactiplantibacillus","Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurella","Firmicutes, Bacilli, Lactobacillales, Lactiplantibacillus","Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurella","Firmicutes, Bacilli, Lactobacillales, Lactiplantibacillus","Firmicutes, Bacilli, Lactobacillales, Lactiplantibacillus"
soft_371602-GCF_900176325.1_IMG-taxon_2622736423_annotated_assembly,"Firmicutes, Bacilli, Lactobacillales, Streptococcus","Firmicutes, Bacilli, Lactobacillales, Enterococcus","Firmicutes, Bacilli, Lactobacillales, Enterococcus","Firmicutes, Bacilli, Lactobacillales, Lactiplantibacillus","Firmicutes, Bacilli, Lactobacillales, Enterococcus","Firmicutes, Bacilli, Lactobacillales, Lactiplantibacillus","Firmicutes, Bacilli, Lactobacillales, Lactiplantibacillus"
soft_637909-GCF_000027185.1_ASM2718v1,"Firmicutes, Bacilli, Lactobacillales, Lactococcus","Firmicutes, Bacilli, Lactobacillales, Lactococcus","Firmicutes, Bacilli, Lactobacillales, Streptococcus","Firmicutes, Bacilli, Lactobacillales, Lactococcus","Firmicutes, Bacilli, Lactobacillales, Lactococcus","Firmicutes, Bacilli, Lactobacillales, Lactococcus","Firmicutes, Bacilli, Lactobacillales, Lactococcus"
soft_684738-GCF_000025045.1_ASM2504v1,"Firmicutes, Bacilli, Lactobacillales, Lactococcus","Firmicutes, Bacilli, Lactobacillales, Lactococcus","Firmicutes, Bacilli, Lactobacillales, Lactococcus","Firmicutes, Bacilli, Lactobacillales, Lactococcus","Firmicutes, Bacilli, Lactobacillales, Lactococcus","Firmicutes, Bacilli, Lactobacillales, Lactococcus","Firmicutes, Bacilli, Lactobacillales, Lactococcus"
soft_883110-GCF_000413455.1_Fack_homi_ACS-120-V-SCH10_V1,"Firmicutes, Bacilli, Lactobacillales, Streptococcus","Firmicutes, Bacilli, Lactobacillales, Streptococcus","Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurella","Firmicutes, Bacilli, Lactobacillales, Streptococcus","Firmicutes, Bacilli, Lactobacillales, Streptococcus","Firmicutes, Bacilli, Lactobacillales, Streptococcus","Firmicutes, Bacilli, Lactobacillales, Streptococcus"
soft_883111-GCF_000301035.1_Fack_homi_CCUG_36813_V1,"Firmicutes, Bacilli, Lactobacillales, Streptococcus","Firmicutes, Bacilli, Lactobacillales, Streptococcus","Proteobacteria, Gammaproteobacteria, Kangiellales, Kangiella","Firmicutes, Bacilli, Lactobacillales, Streptococcus","Firmicutes, Bacilli, Lactobacillales, Streptococcus","Firmicutes, Bacilli, Lactobacillales, Streptococcus","Firmicutes, Bacilli, Lactobacillales, Streptococcus"
