;assembly_accession;refseq_category;taxid;species_taxid;ftp_path;file;Downloaded;accession;superkingdom;kingdom;phylum;class;order;family;genus;suborder;subclass;clade;species;no rank;species group;species subgroup;subfamily;subgenus;subspecies;serogroup;tribe;biotype;forma specialis;serotype;strain;pathogroup
0;GCF_900128725.1;na;9;9;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/128/725/GCF_900128725.1_BCifornacula_v1.0;GCF_900128725.1_BCifornacula_v1.0_genomic.fna;True;NZ_LT667500;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Buchnera;;;;;;;;;;;;;;;;;
1;GCF_003044255.1;na;24;24;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/044/255/GCF_003044255.1_ASM304425v1;GCF_003044255.1_ASM304425v1_genomic.fna;True;NZ_CP028435;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;;;;;;;;;;;;;;;;;
2;GCF_009730575.1;na;24;24;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/730/575/GCF_009730575.1_ASM973057v1;GCF_009730575.1_ASM973057v1_genomic.fna;True;NZ_CP046329;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;;;;;;;;;;;;;;;;;
3;GCF_016406305.1;na;24;24;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/406/305/GCF_016406305.1_ASM1640630v1;GCF_016406305.1_ASM1640630v1_genomic.fna;True;NZ_CP066369;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;;;;;;;;;;;;;;;;;
4;GCF_016406325.1;reference genome;24;24;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/406/325/GCF_016406325.1_ASM1640632v1;GCF_016406325.1_ASM1640632v1_genomic.fna;True;NZ_CP066370;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;;;;;;;;;;;;;;;;;
5;GCF_017068195.1;na;24;24;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/068/195/GCF_017068195.1_ASM1706819v1;GCF_017068195.1_ASM1706819v1_genomic.fna;True;NZ_CP070865;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;;;;;;;;;;;;;;;;;
6;GCF_019599125.1;na;24;24;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/599/125/GCF_019599125.1_ASM1959912v1;GCF_019599125.1_ASM1959912v1_genomic.fna;True;NZ_CP080635;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;;;;;;;;;;;;;;;;;
7;GCF_025402875.1;na;24;24;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/402/875/GCF_025402875.1_ASM2540287v1;GCF_025402875.1_ASM2540287v1_genomic.fna;True;NZ_CP104755;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;;;;;;;;;;;;;;;;;
8;GCF_046058965.1;na;33;33;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/046/058/965/GCF_046058965.1_ASM4605896v1;;False;;Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus;Cystobacterineae;;;;;;;;;;;;;;;;
9;GCF_006400955.1;na;34;34;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/400/955/GCF_006400955.1_ASM640095v1;GCF_006400955.1_ASM640095v1_genomic.fna;True;NZ_CP017169;Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus;Cystobacterineae;;;;;;;;;;;;;;;;
10;GCF_006401215.1;na;34;34;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/401/215/GCF_006401215.1_ASM640121v1;GCF_006401215.1_ASM640121v1_genomic.fna;True;NZ_CP017170;Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus;Cystobacterineae;;;;;;;;;;;;;;;;
11;GCF_006401635.1;na;34;34;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/401/635/GCF_006401635.1_ASM640163v1;GCF_006401635.1_ASM640163v1_genomic.fna;True;NZ_CP017171;Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus;Cystobacterineae;;;;;;;;;;;;;;;;
12;GCF_006402015.1;na;34;34;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/402/015/GCF_006402015.1_ASM640201v1;GCF_006402015.1_ASM640201v1_genomic.fna;True;NZ_CP017172;Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus;Cystobacterineae;;;;;;;;;;;;;;;;
