assembly_accession	refseq_category	ftp_path	Downloaded
GCF_900128725.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/128/725/GCF_900128725.1_BCifornacula_v1.0	False
GCF_003044255.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/044/255/GCF_003044255.1_ASM304425v1	False
GCF_009730575.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/730/575/GCF_009730575.1_ASM973057v1	False
GCF_016406305.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/406/305/GCF_016406305.1_ASM1640630v1	False
GCF_016406325.1	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/406/325/GCF_016406325.1_ASM1640632v1	False
GCF_017068195.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/068/195/GCF_017068195.1_ASM1706819v1	False
GCF_019599125.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/599/125/GCF_019599125.1_ASM1959912v1	False
GCF_025402875.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/402/875/GCF_025402875.1_ASM2540287v1	False
GCF_006400955.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/400/955/GCF_006400955.1_ASM640095v1	False
GCF_006401215.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/401/215/GCF_006401215.1_ASM640121v1	False
GCF_006401635.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/401/635/GCF_006401635.1_ASM640163v1	False
GCF_006402015.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/402/015/GCF_006402015.1_ASM640201v1	False
GCF_006402415.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/402/415/GCF_006402415.1_ASM640241v1	False
GCF_006402735.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/402/735/GCF_006402735.1_ASM640273v1	False
GCF_015775755.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/775/755/GCF_015775755.1_ASM1577575v1	False
GCF_016698685.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/698/685/GCF_016698685.1_ASM1669868v1	False
GCF_019895115.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/895/115/GCF_019895115.1_ASM1989511v1	False
GCF_000219105.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/105/GCF_000219105.1_ASM21910v1	False
GCF_002305875.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/305/875/GCF_002305875.1_ASM230587v1	False
GCF_044360605.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/044/360/605/GCF_044360605.1_ASM4436060v1	False
GCF_044360685.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/044/360/685/GCF_044360685.1_ASM4436068v1	False
GCF_001027285.1	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/285/GCF_001027285.1_ASM102728v1	False
GCF_042230915.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/230/915/GCF_042230915.1_ASM4223091v1	False
GCF_001189295.1	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/189/295/GCF_001189295.1_ASM118929v1	False
GCF_002950945.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/950/945/GCF_002950945.1_ASM295094v1	False
GCF_004135735.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/135/735/GCF_004135735.1_ASM413573v1	False
GCF_004135755.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/135/755/GCF_004135755.1_ASM413575v1	False
GCF_022870945.1	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/870/945/GCF_022870945.1_ASM2287094v1	False
GCF_002222655.1	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/655/GCF_002222655.1_ASM222265v1	False
GCF_002024615.2	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/024/615/GCF_002024615.2_ASM202461v2	False
GCF_002355975.1	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/975/GCF_002355975.1_ASM235597v1	False
GCF_017355525.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/355/525/GCF_017355525.1_ASM1735552v1	False
GCF_023617245.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/617/245/GCF_023617245.1_ASM2361724v1	False
GCF_043508045.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/508/045/GCF_043508045.1_ASM4350804v1	False
GCF_020162275.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/162/275/GCF_020162275.1_ASM2016227v1	False
GCF_006738645.1	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/738/645/GCF_006738645.1_ASM673864v1	False
GCF_003149495.1	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/149/495/GCF_003149495.1_ASM314949v1	False
GCF_008065095.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/065/095/GCF_008065095.1_ASM806509v1	False
GCF_007747015.1	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/747/015/GCF_007747015.1_ASM774701v1	False
GCF_008298035.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/298/035/GCF_008298035.1_ASM829803v1	False
GCF_009720545.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/720/545/GCF_009720545.1_ASM972054v1	False
GCF_009685195.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/685/195/GCF_009685195.1_ASM968519v1	False
GCF_002151465.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/151/465/GCF_002151465.1_ASM215146v1	False
GCF_002151485.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/151/485/GCF_002151485.1_ASM215148v1	False
GCF_002151505.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/151/505/GCF_002151505.1_ASM215150v1	False
GCF_003367295.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/367/295/GCF_003367295.1_ASM336729v1	False
GCF_019134655.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/134/655/GCF_019134655.1_ASM1913465v1	False
GCF_019464575.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/464/575/GCF_019464575.1_ASM1946457v1	False
GCF_024662155.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/662/155/GCF_024662155.1_ASM2466215v1	False
GCF_024662175.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/662/175/GCF_024662175.1_ASM2466217v1	False
GCF_024662195.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/662/195/GCF_024662195.1_ASM2466219v1	False
GCF_040790715.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/790/715/GCF_040790715.1_ASM4079071v1	False
GCF_040790735.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/790/735/GCF_040790735.1_ASM4079073v1	False
GCF_040790745.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/790/745/GCF_040790745.1_ASM4079074v1	False
GCF_040790755.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/790/755/GCF_040790755.1_ASM4079075v1	False
GCF_040790765.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/790/765/GCF_040790765.1_ASM4079076v1	False
GCF_040790775.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/790/775/GCF_040790775.1_ASM4079077v1	False
GCF_040790785.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/790/785/GCF_040790785.1_ASM4079078v1	False
GCF_040790805.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/790/805/GCF_040790805.1_ASM4079080v1	False
GCF_040819585.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/819/585/GCF_040819585.1_PFhe_I_PB_Ill_cons	False
GCF_020422925.2	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/422/925/GCF_020422925.2_ASM2042292v2	False
GCF_020865525.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/865/525/GCF_020865525.1_ASM2086552v1	False
GCF_040790695.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/790/695/GCF_040790695.1_ASM4079069v1	False
GCF_023035815.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/035/815/GCF_023035815.1_ASM2303581v1	False
GCF_003568645.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/568/645/GCF_003568645.1_ASM356864v1	False
GCF_023035415.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/035/415/GCF_023035415.1_ASM2303541v1	False
GCF_036362965.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/362/965/GCF_036362965.1_ASM3636296v1	False
GCF_023035575.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/035/575/GCF_023035575.1_ASM2303557v1	False
GCF_023035295.1	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/035/295/GCF_023035295.1_ASM2303529v1	False
GCF_024181405.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/181/405/GCF_024181405.1_ASM2418140v1	False
GCF_024181425.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/181/425/GCF_024181425.1_ASM2418142v1	False
GCF_024181445.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/181/445/GCF_024181445.1_ASM2418144v1	False
GCF_024181465.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/181/465/GCF_024181465.1_ASM2418146v1	False
GCF_024181485.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/181/485/GCF_024181485.1_ASM2418148v1	False
GCF_024181505.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/181/505/GCF_024181505.1_ASM2418150v1	False
GCF_024181545.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/181/545/GCF_024181545.1_ASM2418154v1	False
GCF_024181565.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/181/565/GCF_024181565.1_ASM2418156v1	False
GCF_024181605.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/181/605/GCF_024181605.1_ASM2418160v1	False
GCF_024181625.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/181/625/GCF_024181625.1_ASM2418162v1	False
GCF_024181645.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/181/645/GCF_024181645.1_ASM2418164v1	False
GCF_024400535.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/400/535/GCF_024400535.1_ASM2440053v1	False
GCF_024400725.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/400/725/GCF_024400725.1_ASM2440072v1	False
GCF_025905525.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/905/525/GCF_025905525.1_ASM2590552v1	False
GCF_002850235.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/850/235/GCF_002850235.1_ASM285023v1	False
GCF_017751165.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/751/165/GCF_017751165.1_ASM1775116v1	False
GCF_017751185.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/751/185/GCF_017751185.1_ASM1775118v1	False
GCF_017751205.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/751/205/GCF_017751205.1_ASM1775120v1	False
GCF_017751225.1	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/751/225/GCF_017751225.1_ASM1775122v1	False
GCF_033555435.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/555/435/GCF_033555435.1_ASM3355543v1	False
GCF_033559215.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/559/215/GCF_033559215.1_ASM3355921v1	False
GCF_005885795.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/885/795/GCF_005885795.1_ASM588579v1	False
GCF_023016345.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/016/345/GCF_023016345.1_ASM2301634v1	False
GCF_023016365.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/016/365/GCF_023016365.1_ASM2301636v1	False
GCF_023016385.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/016/385/GCF_023016385.1_ASM2301638v1	False
GCF_023016405.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/016/405/GCF_023016405.1_ASM2301640v1	False
GCF_023016425.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/016/425/GCF_023016425.1_ASM2301642v1	False
GCF_023016445.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/016/445/GCF_023016445.1_ASM2301644v1	False
GCF_008152505.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/152/505/GCF_008152505.1_ASM815250v1	False
GCF_008152825.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/152/825/GCF_008152825.1_ASM815282v1	False
GCF_008153055.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/153/055/GCF_008153055.1_ASM815305v1	False
GCF_008153205.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/153/205/GCF_008153205.1_ASM815320v1	False
GCF_008153345.1	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/153/345/GCF_008153345.1_ASM815334v1	False
GCF_013348685.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/348/685/GCF_013348685.1_ASM1334868v1	False
GCF_017161245.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/161/245/GCF_017161245.1_ASM1716124v1	False
GCF_017161285.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/161/285/GCF_017161285.1_ASM1716128v1	False
GCF_036492245.1	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/492/245/GCF_036492245.1_ASM3649224v1	False
GCF_036250655.1	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/250/655/GCF_036250655.1_ASM3625065v1	False
GCF_029866565.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/866/565/GCF_029866565.1_ASM2986656v1	False
GCF_029866585.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/866/585/GCF_029866585.1_ASM2986658v1	False
GCF_029866705.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/866/705/GCF_029866705.1_ASM2986670v1	False
GCF_029866725.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/866/725/GCF_029866725.1_ASM2986672v1	False
GCF_002370085.3	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/370/085/GCF_002370085.3_ASM237008v3	False
GCF_005222565.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/222/565/GCF_005222565.1_ASM522256v1	False
GCF_005222585.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/222/585/GCF_005222585.1_ASM522258v1	False
GCF_005222625.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/222/625/GCF_005222625.1_ASM522262v1	False
GCF_021378355.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/378/355/GCF_021378355.1_ASM2137835v1	False
GCF_022343745.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/343/745/GCF_022343745.1_ASM2234374v1	False
GCF_022343765.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/343/765/GCF_022343765.1_ASM2234376v1	False
GCF_022343785.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/343/785/GCF_022343785.1_ASM2234378v1	False
GCF_022343805.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/343/805/GCF_022343805.1_ASM2234380v1	False
GCF_022343825.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/343/825/GCF_022343825.1_ASM2234382v1	False
GCF_022453705.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/453/705/GCF_022453705.1_ASM2245370v1	False
GCF_022453725.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/453/725/GCF_022453725.1_ASM2245372v1	False
GCF_022453745.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/453/745/GCF_022453745.1_ASM2245374v1	False
GCF_022488445.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/488/445/GCF_022488445.1_ASM2248844v1	False
GCF_022488465.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/488/465/GCF_022488465.1_ASM2248846v1	False
GCF_022559725.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/559/725/GCF_022559725.1_ASM2255972v1	False
GCF_023158895.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/158/895/GCF_023158895.1_ASM2315889v3	False
GCF_023515975.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/515/975/GCF_023515975.1_ASM2351597v1	False
GCF_024526695.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/526/695/GCF_024526695.1_FMAS_PN3	False
GCF_030931075.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/931/075/GCF_030931075.1_ASM3093107v1	False
GCF_040126025.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/126/025/GCF_040126025.1_Leptospira_interrogans_3-1_3-2	False
GCF_018399095.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/399/095/GCF_018399095.1_ASM1839909v1	False
GCF_018402785.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/402/785/GCF_018402785.1_ASM1840278v1	False
GCF_018402805.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/402/805/GCF_018402805.1_ASM1840280v1	False
GCF_018402825.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/402/825/GCF_018402825.1_ASM1840282v1	False
GCF_018402845.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/402/845/GCF_018402845.1_ASM1840284v1	False
GCF_018403805.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/403/805/GCF_018403805.1_ASM1840380v1	False
GCF_018403825.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/403/825/GCF_018403825.1_ASM1840382v1	False
GCF_023023725.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/023/725/GCF_023023725.1_ASM2302372v1	False
GCF_023023865.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/023/865/GCF_023023865.1_ASM2302386v1	False
GCF_023023985.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/023/985/GCF_023023985.1_ASM2302398v1	False
GCF_023547025.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/547/025/GCF_023547025.1_ASM2354702v1	False
GCF_024704545.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/704/545/GCF_024704545.1_ASM2470454v1	False
GCF_024722275.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/722/275/GCF_024722275.1_ASM2472227v1	False
GCF_024722295.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/722/295/GCF_024722295.1_ASM2472229v1	False
GCF_026410845.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/410/845/GCF_026410845.1_ASM2641084v1	False
GCF_026914205.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/914/205/GCF_026914205.1_ASM2691420v1	False
GCF_026914225.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/914/225/GCF_026914225.1_ASM2691422v1	False
GCF_008118365.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/118/365/GCF_008118365.1_ASM811836v1	False
GCF_001315015.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/315/015/GCF_001315015.1_ASM131501v1	False
GCF_005222145.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/222/145/GCF_005222145.1_ASM522214v1	False
GCF_005222205.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/222/205/GCF_005222205.1_ASM522220v1	False
GCF_008274945.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/274/945/GCF_008274945.1_ASM827494v1	False
GCF_008274965.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/274/965/GCF_008274965.1_ASM827496v1	False
GCF_022023855.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/023/855/GCF_022023855.1_ASM2202385v1	False
GCF_000954195.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/954/195/GCF_000954195.1_ASM95419v1	False
GCF_001417635.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/417/635/GCF_001417635.1_ASM141763v1	False
GCF_001483845.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/483/845/GCF_001483845.1_ASM148384v1	False
GCF_001639125.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/639/125/GCF_001639125.1_ASM163912v1	False
GCF_001717605.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/717/605/GCF_001717605.1_ASM171760v1	False
GCF_001865455.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/865/455/GCF_001865455.1_ASM186545v1	False
GCF_001865475.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/865/475/GCF_001865475.1_ASM186547v1	False
GCF_001865495.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/865/495/GCF_001865495.1_ASM186549v1	False
GCF_001865515.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/865/515/GCF_001865515.1_ASM186551v1	False
GCF_001865535.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/865/535/GCF_001865535.1_ASM186553v1	False
GCF_001865555.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/865/555/GCF_001865555.1_ASM186555v1	False
GCF_001936355.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/936/355/GCF_001936355.1_ASM193635v1	False
GCF_002024185.1	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/024/185/GCF_002024185.1_ASM202418v1	False
