assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_001735525.1	PRJNA224116	SAMN05384437	MCBT00000000.1	reference genome	23	23	Shewanella colwelliana	strain=CSB03KR	na	latest	Scaffold	Major	Full	2016-09-19	ASM173552v1	Chonnam National University	GCA_001735525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/735/525/GCF_001735525.1_ASM173552v1	na	na	na        	haploid	bacteria	4642543	4642463	45.5	0	52	52	NCBI RefSeq	GCF_001735525.1-RS_2024_08_07	2024-08-07	4144	4033	92	na
GCF_016406325.1	PRJNA224116	SAMN17120581	na	reference genome	24	24	Shewanella putrefaciens	strain=ATCC 8071	na	latest	Complete Genome	Major	Full	2020-12-27	ASM1640632v1	Ocean University of China	GCA_016406325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/406/325/GCF_016406325.1_ASM1640632v1	na	assembly from type material	na        	haploid	bacteria	4386330	4386330	44.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-19	3902	3719	129	na
GCF_007197645.1	PRJNA224116	SAMN12272628	VKGK00000000.1	reference genome	25	25	Shewanella hanedai	strain=JCM 20706	na	latest	Contig	Major	Full	2019-07-20	ASM719764v1	Third Institute of Oceanography, State of Oceanic Administration	GCA_007197645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/197/645/GCF_007197645.1_ASM719764v1	na	assembly from type material	na        	haploid	bacteria	5939027	5939027	43.0	0	86	86	NCBI RefSeq	GCF_007197645.1-RS_2024_04_27	2024-04-27	5096	4930	116	na
GCF_900111765.1	PRJNA224116	SAMN05443572	FOIB00000000.1	reference genome	33	33	Myxococcus fulvus	strain=DSM 16525	na	latest	Scaffold	Major	Full	2016-11-01	IMG-taxon 2693429886 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900111765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/111/765/GCF_900111765.1_IMG-taxon_2693429886_annotated_assembly	na	assembly from type material	na        	haploid	bacteria	10824667	10823669	70.0	0	42	42	NCBI RefSeq	GCF_900111765.1-RS_2024_05_03	2024-05-03	8596	8460	86	na
GCF_900109545.1	PRJNA224116	SAMN05444354	FOAP00000000.1	reference genome	41	41	Stigmatella aurantiaca	strain=DSM 17044	na	latest	Contig	Major	Full	2016-10-31	IMG-taxon 2693429895 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900109545.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/109/545/GCF_900109545.1_IMG-taxon_2693429895_annotated_assembly	na	assembly from type material	na        	haploid	bacteria	9365767	9365767	69.0	0	61	61	NCBI RefSeq	GCF_900109545.1-RS_2024_05_03	2024-05-03	7471	7361	56	na
GCF_001027285.1	PRJNA224116	SAMN03704078	na	reference genome	48	48	Archangium gephyra	strain=DSM 2261	na	latest	Complete Genome	Major	Full	2015-06-03	ASM102728v1	Dr. Srikrishna Subramanian, Protein Science and Engineering, Institute of Microbial Technology, Chandigarh, India	GCA_001027285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/285/GCF_001027285.1_ASM102728v1	na	assembly from type material	na        	haploid	bacteria	12489432	12489432	69.5	1	1	1	NCBI RefSeq	GCF_001027285.1-RS_2024_03_28	2024-03-28	10001	9822	103	na
GCF_001189295.1	PRJNA224116	SAMN03651481	na	reference genome	52	52	Chondromyces crocatus	strain=Cm c5	na	latest	Complete Genome	Major	Full	2015-07-30	ASM118929v1	Helmholtz Centre for Infection Research	GCA_001189295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/189/295/GCF_001189295.1_ASM118929v1	na	assembly from type material	na        	haploid	bacteria	11388132	11388132	68.5	1	1	1	NCBI RefSeq	GCF_001189295.1-RS_2024_05_02	2024-05-02	8280	8124	108	na
GCF_002343915.1	PRJNA224116	SAMN06167144	NETK00000000.1	reference genome	54	54	Nannocystis exedens	strain=DSM 71	na	latest	Contig	Major	Full	2017-09-22	ASM234391v1	Max-Planck Institute for terrestrial Microbiology	GCA_002343915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/343/915/GCF_002343915.1_ASM234391v1	na	assembly from type material	na        	haploid	bacteria	12059053	12059053	72.0	0	2	2	NCBI RefSeq	GCF_002343915.1-RS_2024_03_28	2024-03-28	9483	9350	94	na
GCF_022870945.1	PRJNA224116	SAMN24043410	na	reference genome	61	61	Vitreoscilla stercoraria	strain=SAG 1488-6	na	latest	Complete Genome	Major	Full	2022-04-11	ASM2287094v1	INRS-Centre Armand-Frappier Sante Biotechnologie	GCA_022870945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/870/945/GCF_022870945.1_ASM2287094v1	na	assembly from type material	na        	haploid	bacteria	2661781	2661781	44.0	3	3	3	NCBI RefSeq	GCF_022870945.1-RS_2024_04_26	2024-04-26	2624	2468	116	na
GCF_002222655.1	PRJNA224116	SAMN07313362	na	reference genome	63	63	Vitreoscilla filiformis	strain=ATCC 15551	na	latest	Complete Genome	Major	Full	2017-07-20	ASM222265v1	L'Oreal	GCA_002222655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/655/GCF_002222655.1_ASM222265v1	na	na	na        	haploid	bacteria	3787551	3787551	63.5	3	3	3	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-17	3575	3480	66	na
