Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination	superkingdom	kingdom	phylum	class	order	family	genus	species	domain
GCF_000006945.2	ASM694v2	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	99287	OK		Annotation submitted by NCBI RefSeq	4951383	2.0	Complete Genome	2016-01-13		4857450	4857450.0	2.0		Washington University Genome Sequencing Center	PRJNA241	SAMN02604315	4717	4554	39.0	assembly from type material	Salmonella enterica	99.71	0.44	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	
GCF_000195955.2	ASM19595v2	Mycobacterium tuberculosis H37Rv	83332	OK		Annotation submitted by NCBI RefSeq	4411532	1.0	Complete Genome	2013-02-01		4411532	4411532.0	1.0		Sanger Institute	PRJNA224	SAMEA3138326	4008	3906	30.0	assembly from type material	Mycobacterium tuberculosis	97.78	0.37	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis	
GCF_000009045.1	ASM904v1	Bacillus subtilis subsp. subtilis str. 168	224308	OK		Annotation submitted by NCBI RefSeq	4215606	1.0	Complete Genome	2009-03-17		4215606	4215606.0	1.0		BSNR	PRJNA76	SAMEA3138188	4536	4237	88.0	assembly from type material	Bacillus subtilis	98.62	1.32	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	
GCF_009035845.1	ASM903584v1	Acinetobacter baumannii	470	OK		GCF_009035845.1-RS_2024_03_30	3999136	3.0	Complete Genome	2019-10-16		3981941	3981941.0	3.0	Illumina MiSeq; Oxford Nanopore MiniION	University of Technology Sydney	PRJNA557095	SAMN12389466	3832	3686	50.0	assembly from type material	Acinetobacter baumannii	99.52	0.06	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter		
GCF_000015785.2	ASM1578v2	Bacillus velezensis FZB42	326423	OK		GCF_000015785.2-RS_2024_04_02	3918596	1.0	Complete Genome	2019-06-24		3918596	3918596.0	1.0		Competence Network	PRJNA13403	SAMN02603158	3882	3680	81.0	assembly from synonym type material	Bacillus	99.41		Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus velezensis	
GCF_001457635.1	NCTC7465	Streptococcus pneumoniae	1313	OK		GCF_001457635.1-RS_2024_10_11	2110968	1.0	Complete Genome	2015-03-22		2110968	2110968.0	1.0		SC	PRJEB6403	SAMEA2479568	2189	1931	185.0	assembly from type material	Streptococcus pneumoniae	98.4	0.94	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus		
GCF_000412675.1	ASM41267v1	Pseudomonas putida NBRC 14164	1211579	OK		GCF_000412675.1-RS_2024_12_11	6156701	1.0	Complete Genome	2013-06-14		6156701	6156701.0	1.0	ABI3730; GS-FLX Titanium; Illumina HiSeq 1000 paired-end	National Institute of Technology and Evaluation	PRJDB191	SAMD00061028	5573	5376	96.0	assembly from type material	Pseudomonas putida	99.71	1.33	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	
GCF_025998455.1	ASM2599845v1	Helicobacter pylori	210	OK		GCF_025998455.1-RS_2024_12_09	1696601	1.0	Complete Genome	2022-10-20		1696601	1696601.0	1.0	PacBio Sequel II	Oita University	PRJDB10671	SAMD00509734	1629	1506	78.0	assembly from type material	Helicobacter pylori	99.14		Bacteria	Pseudomonadati	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter		
GCF_019048245.1	ASM1904824v1	Enterobacter hormaechei	158836	OK		GCF_019048245.1-RS_2024_03_31	4915930	3.0	Complete Genome	2021-06-28		4197933	4197933.0	3.0	Pacbio; Illumina	US Food and Drug Administration	PRJNA231221	SAMN16357575	4774	4577	76.0	assembly from type material	Enterobacter	99.57	0.06	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter		
GCF_900186865.1	49243_F02	Stenotrophomonas maltophilia	40324	OK		GCF_900186865.1-RS_2024_05_05	5004261	1.0	Complete Genome	2017-08-15		5004261	5004261.0	1.0		SC	PRJEB6403	SAMEA4076705	4669	4517	62.0	assembly from type material	Stenotrophomonas maltophilia	98.37	0.83	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Stenotrophomonas		
