assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id	domain	kingdom	phylum	class	order	family	genus	suborder	subclass	clade	no rank	species group	species subgroup	species	subfamily	tribe	subspecies	serotype	forma specialis	pathogroup	strain	subgenus
GCF_001189295.1	PRJNA224116	SAMN03651481	na	reference genome	52	52	Chondromyces crocatus	strain=Cm c5	na	latest	Complete Genome	Major	Full	2015-07-30	ASM118929v1	Helmholtz Centre for Infection Research	GCA_001189295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/189/295/GCF_001189295.1_ASM118929v1	na	assembly from type material	na        	haploid	bacteria	11388132	11388132	68.5	1	1	1	NCBI RefSeq	GCF_001189295.1-RS_2024_05_02	2024-05-02	8280	8124	108	na	Bacteria	Pseudomonadati	Myxococcota		Polyangiales	Polyangiaceae	Chondromyces		Polyangia													
GCF_002343915.1	PRJNA224116	SAMN06167144	NETK00000000.1	reference genome	54	54	Nannocystis exedens	strain=DSM 71	na	latest	Contig	Major	Full	2017-09-22	ASM234391v1	Max-Planck Institute for terrestrial Microbiology	GCA_002343915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/343/915/GCF_002343915.1_ASM234391v1	na	assembly from type material	na        	haploid	bacteria	12059053	12059053	72.0	0	2	2	NCBI RefSeq	GCF_002343915.1-RS_2024_03_28	2024-03-28	9483	9350	94	na	Bacteria	Pseudomonadati	Myxococcota		Nannocystales	Nannocystaceae	Nannocystis		Polyangia													
GCF_002028405.1	PRJNA224116	SAMN06197299	na	reference genome	926	926	Thiomonas intermedia	strain=ATCC 15466	na	latest	Complete Genome	Major	Full	2017-03-15	ASM202840v1	China University of Petroleum	GCA_002028405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/028/405/GCF_002028405.1_ASM202840v1	na	assembly from type material	na        	haploid	bacteria	3343428	3343428	65.0	2	2	2	NCBI RefSeq	GCF_002028405.1-RS_2024_05_03	2024-05-03	3129	3051	49	na	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales		Thiomonas				Burkholderiales genera incertae sedis											
GCF_001547975.1	PRJNA224116	SAMD00020876	na	reference genome	2094	2094	Mycoplasmopsis arginini	strain=HAZ145_1	Mycoplasma arginini #HAZ145_1	latest	Complete Genome	Major	Full	2015-02-25	ASM154797v1	National Institute of Animal Health, National Agriculture and Food Research Organization	GCA_001547975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/975/GCF_001547975.1_ASM154797v1	na	na	na        	haploid	bacteria	678592	678592	26.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-28	632	589	40	25883285	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Mycoplasmopsis															
GCF_900476085.1	PRJNA224116	SAMEA4384242	na	reference genome	2096	2096	Mycoplasmoides gallisepticum	strain=NCTC10115	na	latest	Complete Genome	Major	Full	2018-08-19	50569_G01	SC	GCA_900476085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/476/085/GCF_900476085.1_50569_G01	na	assembly from type material	na        	haploid	bacteria	981408	981408	31.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-26	797	731	41	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Mycoplasmoidaceae	Mycoplasmoides															
GCF_900476065.1	PRJNA224116	SAMEA4384243	na	reference genome	2100	2100	Mesomycoplasma hyorhinis	strain=NCTC10130	na	latest	Complete Genome	Major	Full	2018-08-19	50465_F02	SC	GCA_900476065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/476/065/GCF_900476065.1_50465_F02	na	assembly from type material	na        	haploid	bacteria	838863	838863	26.0	1	1	1	NCBI RefSeq	GCF_900476065.1-RS_2024_03_21	2024-03-21	750	687	36	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Mesomycoplasma															
GCF_900660465.1	PRJNA224116	SAMEA4384307	na	reference genome	2104	2104	Mycoplasmoides pneumoniae	strain=NCTC10119	na	latest	Complete Genome	Major	Full	2019-01-29	50648_A01-3	SC	GCA_900660465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/660/465/GCF_900660465.1_50648_A01-3	na	assembly from type material	na        	haploid	bacteria	823017	823017	40.0	2	2	2	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-26	783	689	42	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Mycoplasmoidaceae	Mycoplasmoides															
GCF_900660575.1	PRJNA224116	SAMEA4434529	na	reference genome	2107	2107	Mycoplasmopsis pulmonis	strain=NCTC10139	na	latest	Complete Genome	Major	Full	2019-01-29	51342_D01-3	SC	GCA_900660575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/660/575/GCF_900660575.1_51342_D01-3	na	assembly from type material	na        	haploid	bacteria	962791	962791	26.5	2	2	2	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-28	799	756	36	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Mycoplasmopsis															
GCF_900660715.1	PRJNA224116	SAMEA104224774	na	reference genome	2111	2111	Metamycoplasma arthritidis	strain=NCTC10162	na	latest	Complete Genome	Major	Full	2019-01-29	57675_H02-3	SC	GCA_900660715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/660/715/GCF_900660715.1_57675_H02-3	na	assembly from type material	na        	haploid	bacteria	806209	806209	30.5	1	1	1	NCBI RefSeq	GCF_900660715.1-RS_2024_04_30	2024-04-30	649	606	39	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Metamycoplasma															
GCF_900660525.1	PRJNA224116	SAMEA4434524	na	reference genome	2112	2112	Mycoplasmopsis bovigenitalium	strain=NCTC10122	na	latest	Complete Genome	Major	Full	2019-01-29	50861_G01-3	SC	GCA_900660525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/660/525/GCF_900660525.1_50861_G01-3	na	assembly from type material	na        	haploid	bacteria	841512	841512	29.0	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-28	740	694	40	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Mycoplasmopsis															
